id,title,company,location,salary_min,salary_max,description,year,apply_url
ST-12847069-26-GEB,MANAGER,Naval Sea Systems Command,"Crane, Indiana",124531,190424,"You will serve as the MANAGER in the Expeditionary Warfare Weapons & Energy System Dept (JX), Weapons Systems Fleet Engineering Div (JXN), Weapons Platform Integration Branch (JXNW) OR Naval Weapons Branch (JXNR) of NAVAL SURFACE WARFARE CENTER. The salary range shown above represents all of the positions within the band, including high grade positions. This is not a high-grade position; therefore, the salary may be limited to a GS-14 Step 10 (currently $161,889).",2021,https://www.usajobs.gov:443/job/851852500
CBTD-12836295-26-DD,Biomedical Equipment Support Specialist,Veterans Health Administration,"Portland, Maine",48408,115362,"The Biomedical Equipment Support Specialist position is in the Healthcare Technology Management (HTM) department at the VA Maine Healthcare System located at the Portland ME location. This position is full time at 40 hours per week. ""The 2-page Resume requirement does not apply to this occupational series. For more information, refer to Required Documents below.""",2021,https://www.usajobs.gov:443/job/850460200
OH-12847135-AF-25-321-1-C,HR SPEC (INFORMATION SYSTEMS/MILITARY),Air National Guard Units,"Springfield, Ohio",63387,82402,"This National Guard position is for a HR SPEC (INFORMATION SYSTEMS/MILITARY), Position Description Number D2918000 and is part of the OH 178 Wing, Ohio Air National Guard. Serves as the Human Resources Specialist (Military Information Systems).",2021,https://www.usajobs.gov:443/job/852205900
OH-12847135-AF-25-321-2-C,HR SPEC (INFORMATION SYSTEMS/MILITARY),Air National Guard Units,"Springfield, Ohio",63387,82402,"This National Guard position is for a HR SPEC (INFORMATION SYSTEMS/MILITARY), Position Description Number D2918000 and is part of the OH 178 Wing, Ohio Air National Guard. Serves as the Human Resources Specialist (Military Information Systems).",2021,https://www.usajobs.gov:443/job/852207300
MA-12839833-AR-25-068,MANAGEMENT ANALYST,Army National Guard Units,"Hanscom AFB, Massachusetts",69213,89975,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a MANAGEMENT ANALYST, Position Description Number PDD1256000 and is part of the MA ARNG SMO, National Guard. This is a Bargaining Unit position. The unit point of contact and contact phone for this position is: CPT Kevin Lackey at (339)202-3422",2021,https://www.usajobs.gov:443/job/850714700
CBSV-12838924-26-EH,Patient Representative,Veterans Health Administration,"Portland, Oregon",65846,103563,"The incumbent of this position serves as Patient Representative (Patient Advocate) within the Office of Veteran Experience for the Medical Center. This position is responsible for the coordination and implementation of the Veterans Experience and Patient Advocate programs. Major duties consist of serving as liaison between the medical center, patients and staff, and the community regarding the patient experience, patient rights and advocacy.",2021,https://www.usajobs.gov:443/job/851911400
ST-12846640-26-BWH,MANAGER,Naval Sea Systems Command,"Dahlgren, Virginia",142888,195200,"You will serve as a MANAGER in the WEAPONS CONTROL & INTEGRATION DEPARTMENT, MARITIME WARFARE CONTROL SYSTEMS DIVISION of NAVSURFWARCENDLD. The Secretary of Defense has ordered a department-wide hiring freeze subject to certain limited exceptions. This position is subject to the DoD hiring freeze. Offers of employment related to this vacancy announcement will not be executed until the position has an approved exemption.",2021,https://www.usajobs.gov:443/job/852085100
IMP-12840864-26-FM,Explosives Investigator,Pentagon Force Protection Agency,"Pentagon, Arlington, Virginia",69923,131826,"This position is located with the Pentagon Force Protection Agency, Law Enforcement Directorate, Pentagon Police Division, Hazardous Device Branch. The incumbent is responsible for the daily transportation and physical protection of government property, such as: explosives, explosive evidence, and other hazardous materials and responds to emergency incidents involving EID, Weapons of Mass Destruction (WMD), and other terrorist acts.",2021,https://www.usajobs.gov:443/job/851809400
DE-12842892-26-JLM,ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",101401,156755,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2021,https://www.usajobs.gov:443/job/851204700
CBSX-12824999-26-AL,Supply Technician,Veterans Health Administration,"San Diego, California",46072,59888,"This position serves as Supply Technician (Medical) for the Medical Supply Distribution (MSD) areas of Supply Chain Management within the VA Health Care System. As a Supply Technician, you will provide wards, clinics, operating rooms, secondary storage locations, and other hospital facilities with supplies and material including, but not limited to, sterile and non-sterile medical supplies, instrument sets and equipment.",2021,https://www.usajobs.gov:443/job/849236100
CBSR-12847337-26-JD,Licensed Practical Nurse - Specialty Medicine - Endocrinology,Veterans Health Administration,"Columbus, Ohio",67885,88256,"The GS-7 LPN/LVN can serve as a responsible member of the Specialty Medicine Endocrinology department and are responsible for goals and interventions that promote veterans in attaining maximum functional potential. Demonstrates integration of concepts, cognitive skills, and technically competent practice in providing care to patients with basic or complex needs. S/he is an advanced LPN who demonstrates critical thinking skills basic/fundamental experience with situations.",2021,https://www.usajobs.gov:443/job/851989500
26-WJ-00085-12846080-MP,Electronic Integrated Systems Mechanic (EEC),Western Area Power Administration,"Craig, Colorado",65.3,68.02,"This position is part of the WAPA-RMR-Rocky Mountain Region. As an Electronic Integrated Systems Mechanic (EEC), you will ensure the functionality, reliability, and efficiency of electronic systems that support power grid operations. The incumbent installs, modifies, repairs, programs, and tests communication, control process computers, and supervisory control systems. *This is not a remote position.*",2021,https://www.usajobs.gov:443/job/852131200
ST-12847614-26-GMK,MANAGEMENT AND PROGRAM ANALYST,Naval Supply Systems Command,"Naval Support Activity, Mechanicsburg, Pennsylvania",107517,139774,You will serve as a Management and Program Analyst in the Total Force Division of CNSSC OPERATIONAL SUPPORT FIELD.,2021,https://www.usajobs.gov:443/job/851923600
CBSR-12842085-26-MDR,Advanced Medical  Support Assistant,Veterans Health Administration,"Columbus, Ohio",51235,66603,"The incumbent serves as an Advanced Medical Support Assistant within Social Work Services at the Columbus Veterans Affairs Ambulatory Care Center. The Advanced MSA works collaboratively in an interdisciplinary coordinated care delivery model within the Social Work and Integrated Care department. The incumbent performs duties related to the receipt, intake, and indexing of health and administrative information.",2021,https://www.usajobs.gov:443/job/851417900
CAZP-12828461-26-AP,Orthotist-Prosthetist (Advanced Practitioner) - Recruitment/Relocation Incentive,Veterans Health Administration,"Bloomington, Illinois",88621,115213,This position functions as an advanced clinical member of the Illiana VA Medical Center & CBOC's under the Prosthetics and Sensory Aids Services service line in the role of a Mobile Prosthetic and Orthotic Care (MoPOC) program clinician.,2021,https://www.usajobs.gov:443/job/849271400
CBSY-12821720-26-TKA,Nursing Assistant - Community Living Center,Veterans Health Administration,"Fort Meade, South Dakota",38493,62839,"This Nursing Assistant (NA) position is located at the Fort Meade VA Medical Center, Community Living Center in Fort Meade, SD. The NA functions as a member of a professional nursing care team, assisting licensed nursing staff in the care of Veterans receiving preventative, acute, sub-acute chronic, maintenance, and hospice care. Patient assignments involve both basic and more complex nursing care within a range of predictable to unpredictable requirements.",2021,https://www.usajobs.gov:443/job/848679800
20250820-10967-009753-RF-DE,Painter,U.S. Coast Guard,"Miami Beach, Florida",31.08,36.27,"This vacancy is for a WG - 4102-9,Painter located in the Department of Homeland Security, U.S. Coast Guard, INDUSTRIAL PRODUCTION FACILITY MIAMI in MIAMI BEACH, Florida.",2021,https://www.usajobs.gov:443/job/851853700
CBSY-12825819-26-JJA,Staff Psychologist,Veterans Health Administration,"Ramsey, Minnesota",80609,149359,"The psychologist will provide diagnostic interviews, assessments, specialty psychotherapy, and treatment coordination as well short-term interventions through co-located care for adult patients with mood, anxiety, and personality disorders, and a range of general mental health issues who are being followed on Primary Care Patient Aligned Care Teams (PACT). Additional responsibilities may include multidisciplinary consultation and participation in the psychology training programs.",2021,https://www.usajobs.gov:443/job/849004900
DE-12828370-26-TAP,ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",101401,156755,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2021,https://www.usajobs.gov:443/job/849247100
WI-12847161-Air-26-059,ELECTRONIC INTEGRATED SYSTEMS MECHANIC - Title 32,Air National Guard Units,"Madison, Wisconsin",37.09,43.27,"This National Guard position is for a ELECTRONIC INTEGRATED SYSTEMS MECHANIC - Title 32, Position Description Number D2240P01 and is part of the WI 115 AMXS, Wisconsin Air National Guard. *This vacancy is also advertised as AGR Job Announcement Number 26-017ANG*",2021,https://www.usajobs.gov:443/job/852048900
WI-12842606-Air-26-046,ELECTRONIC INTEGRATED SYSTEMS MECHANIC - Title 32,Air National Guard Units,"Madison, Wisconsin",37.09,43.27,"This National Guard position is for a ELECTRONIC INTEGRATED SYSTEMS MECHANIC - Title 32, Position Description Number D2240P01 and is part of the WI 115 AMXS, Wisconsin Air National Guard. *This vacancy is also advertised as AGR Job Announcement Number 26-016ANG*",2021,https://www.usajobs.gov:443/job/852052600
25-8TFSN047427,HUMAN RESOURCES ASSISTANT,Pacific Air Forces,"Kadena Air Base Okinawa, Japan",16.55,19,"About the position: This position is Non-appropriated Fund (NAF) and is located at the NAF Human Resources Office on Kadena Air Base, Okinawa, Japan.",2021,https://www.usajobs.gov:443/job/851538900
DE-12828058-26-JLM,ENGINEER/SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",101401,156755,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2021,https://www.usajobs.gov:443/job/849215100
GA-12843904-AF-26-029,TRAINING TECHNICIAN - TITLE 32,Air National Guard Units,"Garden City, Georgia",61111,79443,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a Training Technician, PD Number D2702000 and is part of the165th FSS, Garden City, Georgia. This is a full-time, Excepted Permanent, dual status position which requires Georgia Air National Guard Membership. Area of Consideration: Open to current members of the Georgia Air National Guard.",2021,https://www.usajobs.gov:443/job/851356400
VT-12838410-AF-25-47,IT SPECIALIST (CUSTSPT),Air National Guard Units,"South Burlington, Vermont",62359,117565,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This position is for an IT Specialist (CUSTSPT), Position Description Number D2182P01 and is part of the 158th Communications Squadron of the 158th Mission Support Group of the Vermont Air National Guard.",2021,https://www.usajobs.gov:443/job/850498500
NC7X-25-12846415-MP-R,Educational Aide (SPED Assessor),Department of Defense Education Activity,"Lakenheath, United Kingdom",17.64,22.07,"About the Position: This vacancy is located at Lakenheath Elementary School in Lakenheath, United Kingdom. All candidates must reside within the local commuting area where the position is located. Local commuting area is defined as the geographic area surrounding a work site that encompasses the localities where people live and reasonably can be expected to travel back and forth daily to work based on the generally held expectations of the local community. (5 CFR 575.203)",2021,https://www.usajobs.gov:443/job/851724700
12848410,SUPERVISORY GENERAL ENGINEER,STRATEGIC SYSTEMS PROGRAMS (SSP),"Cape Canaveral, Florida",132626,195200,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2021,https://www.usajobs.gov:443/job/852101300
CBSS-12838409-26-TC,Clinical Laboratory Scientist,Veterans Health Administration,"Columbia, Missouri",59695,109573,"This position is eligible for the Education Debt Reduction Program (EDRP), a student loan payment reimbursement program. You must meet specific individual eligibility requirements in accordance with VHA policy and submit your EDRP application within four months of appointment. Program Approval, award amount (up to $200,000) and eligibility period (one to five years) are determined by the VHA Education Loan Repayment Services program office after complete review of the EDRP application.",2021,https://www.usajobs.gov:443/job/850734600
SE-1630-GRSM-26-12845643-DE,(SEASONAL) Biological Science Technician (Insects),National Park Service,"Gatlinburg, Tennessee",19.33,25.12,"This position is located in Great Smoky Mountains National Park, in the Resource Management and Science Division. Open to the first 100 applicants or until 12/23/2025 whichever comes first. All applications submitted by 11:59 (EST) on the closing day will receive consideration.",2021,https://www.usajobs.gov:443/job/851866900
SE-1630-GRSM-26-12846269-DE,(SEASONAL) Biological Science Technician (Plants),National Park Service,"Gatlinburg, Tennessee",19.33,25.12,"These positions are located in Great Smoky Mountains National Park, in the Resource Management and Science Division. Open to the first 100 applicants or until 12/24/2025 whichever comes first. All applications submitted by 11:59 (EST) on the closing day will receive consideration.",2021,https://www.usajobs.gov:443/job/851922300
ST-12846431-26-JWS,PROGRAM ANALYST,Naval Facilities Engineering Systems Command,"Washington Navy Yard, District of Columbia",120579,156755,You will serve as a PROGRAM ANALYST in the Environmental Resource and Assessment Division (EV4) of the Naval Facilities Engineering Systems Command Headquarters.,2021,https://www.usajobs.gov:443/job/851917400
TN-12722116-AF-26-026,MANAGEMENT ANALYST (TITLE 32),Air National Guard Units,"Memphis, Tennessee",67297,87482,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a MANAGEMENT ANALYST (TITLE 32), Position Description Number NGD2505000 and is part of the TN 164th AW, Air National Guard. This vacancy is covered by Association of Civilian Technicians (ACT), Chapter 114 (Smoky Mountain Chapter). This is a Dual-Bid with AGR announcement A25-092. Only 1 selection will be made.",2021,https://www.usajobs.gov:443/job/848996900
CBTA-12837444-26-RB,Staff Psychologist,Veterans Health Administration,"Chesapeake County, Virginia",89395,165638,"This position is located within the Department of Veterans Affairs (VA), Veterans Health Administration (VHA), VA Mid-Atlantic Health Care Network (VISN 6), Hampton Veterans Affairs Medical Center (HVAMC), under the Community Based Clinics (CBOCs). This position is aligned with the Behavioral Health Interdisciplinary Program/Outpatient Mental Health Services.",2021,https://www.usajobs.gov:443/job/851338700
DE-12837134-26-WBO,INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",101401,156755,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2021,https://www.usajobs.gov:443/job/850424600
CMS-CMCS-26-12844959-DH,Social Science Research Analyst,Centers for Medicare & Medicaid Services,"Denver, Colorado",90025,117034,"This position is located in the Department of Health & Human Services (HHS), Centers for Medicare & Medicaid Services (CMS). As a Social Science Research Analyst, GS-0101-13, you will perform program and policy analyses of services provided by HHS programs.",2021,https://www.usajobs.gov:443/job/851632400
CMS-CMCS-26-12844961-PPP,Social Science Research Analyst,Centers for Medicare & Medicaid Services,"Denver, Colorado",90025,117034,"This position is located in the Department of Health & Human Services (HHS), Centers for Medicare & Medicaid Services (CMS). As a Social Science Research Analyst, GS-0101-13, you will perform program and policy analyses of services provided by HHS programs.",2021,https://www.usajobs.gov:443/job/851632800
NJ-12821458-AR-25-047R,PRODUCTION CONTROLLER,Army National Guard Units,"Lakehurst, New Jersey",58876,76543,"This National Guard position is for a PRODUCTION CONTROLLER, Position Description Number D1259000 and is part of the NJ UTES, National Guard. NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. The purpose of this position is to plan, schedule, control, and monitor the status of equipment maintenance; and to assist a higher-graded Production Controller",2021,https://www.usajobs.gov:443/job/848667400
12837228-ADMHAM-IMP-25,Management and Program Analyst (Fleet),Citizenship and Immigration Services,"Camp Springs, Maryland",120579,156755,"Protect your homeland and defend your culture. Join USCIS, America's frontline defense against illegal foreign infiltration and fraud. As a Management and Program Analyst (Fleet), you will oversee, analyze, and evaluate fleet management programs and policy including for personal property, internal controls, fleet utilization, telematics, statistical analysis, and budget methodology.",2021,https://www.usajobs.gov:443/job/851679700
AFMC-034303-12842168-JSB,MANAGEMENT AND PROGRAM ANALYST-Direct Hire Authority,Air Force Materiel Command,"Hill AFB, Utah",88621,137000,"Veteran's preference does not apply to DHA recruitment Click on ""Learn more about this agency"" button below for more information. The primary purpose of this position is to provide leadership support in the preparation of consolidated management reports, recommendations and analysis submitted by review teams, groups and or specialists to assist in the assurance of the policies, procedures, and processes.",2021,https://www.usajobs.gov:443/job/851065300
HSJW-26-12829244-DHA-R,Clinical Laboratory Scientist,Military Treatment Facilities under DHA,"Malmstrom AFB, Montana",61111,79443,"About the Position: This position is in the Clinical Laboratory of the 341st Medical Group, Malmstrom Air Force Base, Montana. This is a Direct Hire Solicitation",2021,https://www.usajobs.gov:443/job/849469500
OCE-2025-402,Engineering Technician (Drafting),Architect of the Capitol,"Washington, District of Columbia",69923,100097,"This position is located in the Architect of the Capitol (AOC), Office of the Chief Engineer, Planning and Project Development Division, Technical Support Branch. The selectee will provide technical services for development and maintenance of the AOC ""As-Is"" computer-aided design master files and assist in the implementation and operation of the agencies computer-aided design (CAD) system, and will also produce architectural and engineering CAD drawings.",2021,https://www.usajobs.gov:443/job/851683300
OH-12846936-AF-25-327-T,AIR BATTLE MANAGER (INSTRUCTOR),Air National Guard Units,"Blue Ash, Ohio",92308,120006,"This National Guard position is for a AIR BATTLE MANAGER (INSTRUCTOR), Position Description Number D2350000 and is part of the OH 123 Air Control Squadron, Ohio Air National Guard. The purpose of this position is to plan, organize, evaluate, and train activities of the Battle Management Command and Control (BMC2) mission which includes the Air Battle Manager (ABM) and Weapons Director (WD) career fields.",2021,https://www.usajobs.gov:443/job/851860400
PID-DJ-12794306-26-MP,Intelligence Research Specialist (Protective),U.S. Secret Service,"Washington, District of Columbia",69923,109975,"Joining the Secret Service, Office of Strategic Intelligence and Information, Protective Intelligence and Assessment Division will allow you to apply investigative research, analysis and assessment in relation to and support of the protective and intelligence mission of the Secret Service. For definitions of terms found in this announcement, please click here.",2021,https://www.usajobs.gov:443/job/851471800
CA-12837330-AR-26-017,PRODUCTION CONTROLLER,Army National Guard Units,"Dublin, California",62456,81198,"This PRODUCTION CONTROLLER position, is located in the Joint Forces Headquarters-State, Logistics Directorate (J-4/G-4), Surface Maintenance Facility and is part of the CA FMS 33 Dublin.",2021,https://www.usajobs.gov:443/job/852143400
CBSU-12836663-26-DAP,Licensed Professional Mental Health Counselor-BHIP Therapist,Veterans Health Administration,"Aurora, Colorado",68138,107167,The incumbent serves as a fully qualified Licensed Professional Mental Health Counselor (LPMHC) in the Mental Health Service. The incumbent has primary assignment as a therapist within a Behavioral Health Interdisciplinary Program (BHIP) team. BHIP functions as the outpatient mental health clinic and is one of the functional units providing psychological services to the Veterans Affairs Eastern Colorado Health Care System.,2021,https://www.usajobs.gov:443/job/851547800
CBSU-12836664-26-DAP,Licensed Professional Mental Health Counselor-BHIP Therapist,Veterans Health Administration,"Aurora, Colorado",68138,107167,The incumbent serves as a fully qualified Licensed Professional Mental Health Counselor (LPMHC) in the Mental Health Service. The incumbent has primary assignment as a therapist within a Behavioral Health Interdisciplinary Program (BHIP) team. BHIP functions as the outpatient mental health clinic and is one of the functional units providing psychological services to the Veterans Affairs Eastern Colorado Health Care System.,2021,https://www.usajobs.gov:443/job/851550300
CBTB-12842717-26-SL,License Practical Nurse (Mental Health),Veterans Health Administration,"Tuscaloosa, Alabama",50464,65607,"The Licensed Practical Nurse (LPN) GS 7 meets all the requirements for LPN GS 3, 4, 5, and 6, and performs a wide range of patient care and supportive duties throughout the medical center. To be advanced, employees must meet all the following standards, provided the standard is part of their assignment. The LPN, GS-7, is for select, complex LPN positions. Determinations concerning grade level take into consideration the skill mix and the availability of supervision in the work unit.",2021,https://www.usajobs.gov:443/job/851940000
CBTB-12842718-26-SL,Licensed Practical Nurse ( Mental Health),Veterans Health Administration,"Tuscaloosa, Alabama",50464,65607,"The Licensed Practical Nurse (LPN) GS 7 meets all the requirements for LPN GS 3, 4, 5, and 6, and performs a wide range of patient care and supportive duties throughout the medical center. To be advanced, employees must meet all the following standards, provided the standard is part of their assignment. The LPN, GS-7, is for select, complex LPN positions. Determinations concerning grade level take into consideration the skill mix and the availability of supervision in the work unit.",2021,https://www.usajobs.gov:443/job/851940800
ST-12847676-26-AK,FINANCIAL MANAGEMENT ANALYST,United States Fleet Forces Command,"Kittery, Maine",56584,89975,"You will serve as a Financial Management Analyst in the Travel Branch (Code 615), Accounting Division, Comptroller Department of PORTSMOUTH NAVAL SHIPYARD.",2021,https://www.usajobs.gov:443/job/851986000
4U-ARTE-12845401-995459-JHM,AVIATION RESOURCES MANAGEMENT SPECIALIST,"Headquarters, Air Force Reserve Command","Charleston AFB, South Carolina",61111,79443,"This is an Air Reserve Technician (ART) position. ARTs are part of the regular career civil service and enjoy all the benefits granted to Federal employees in the competitive civil service. For more information click here and speak with an Air Force Reserve Recruiter. Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information.",2021,https://www.usajobs.gov:443/job/851562600
ST-12846120-26-ARB,PROGRAM ANALYST,U.S. Pacific Fleet,"Pearl Harbor Naval Base, Oahu, Hawaii",92520,120282,"You will serve as a Program Analyst in the Project Material and Work Packaging Division, Work Packaging Branch, of PEARL HARBOR NSY AND IMF.",2021,https://www.usajobs.gov:443/job/851721100
ST-12847910-26-JDJ,SUPERVISORY QUALITY ASSURANCE SPECIALIST,U.S. Pacific Fleet,"Yokosuka, Japan",90025,117034,"You will serve as a SUPERVISORY QUALITY ASSURANCE SPECIALIST in the QA/INSPECTION/TEST DIVISION (C720), LIFTING AND HANDLING DEPARTMENT (C700) of the NAVAL SHIP REPAIR FACILITY. The Secretary of Defense has ordered a department-wide hiring freeze subject to certain limited exceptions. This position is subject to the DoD hiring freeze. Offers of employment related to this vacancy announcement will not be executed until the position has an approved exemption.",2021,https://www.usajobs.gov:443/job/852152300
MS-12843922-AF-25-056,AIR SURVEILLANCE SPECIALIST (INSTRUCTOR),Air National Guard Units,"Gulfport, Mississippi",73939,96116,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION THAT REQUIRES MILITARY MEMBERSHIP. This National Guard position is for a AIR SURVEILLANCE SPECIALIST (INSTRUCTOR), Position Description Number PDD2349000 and is part of the Mississippi National Guard.",2021,https://www.usajobs.gov:443/job/851361900
CBST-12844912-26-HC,Supervisory Medical Support Assistant,Veterans Health Administration,"New Orleans, Louisiana",55328,71932,"The Supervisory Medical Support Assistant works collaboratively in an interdisciplinary coordinated care delivery model (i.e., PACT, Specialty, C&P and Call Center) for Primary Care Clinics and Specialty Clinics at the Southeast Louisiana Veterans Health Care System and performs all related duties, customer service and other duties assigned for the proper and timely treatment of patients and assure appointment schedules are maintained by MSA staff for one or more outpatient clinics.",2021,https://www.usajobs.gov:443/job/851916400
ST-12847012-26-CLC,TECHNICIAN,Naval Sea Systems Command,"Rota, Spain",90025,138296,"You will serve as a Technician in the of NAVAL SURFACE WARFARE CENTER, Spain. This is a RE-ADVERTISEMENT of Announcement Number:ST-12827525-26-CLC. Applicants that have previously applied NEED to re-apply to this announcement.",2021,https://www.usajobs.gov:443/job/851840300
DE-12843019-26-TLS,SUPERVISORY GENERAL ENGINEER,Naval Sea Systems Command,"Naval Shipyard, Portsmouth, Virginia",126382,193254,"This is a public notice flyer to notify interested applicants of anticipated vacancies. Applications will not be accepted through this flyer. Interested applicants must follow the directions in the ""How to Apply"" section of this flyer to be considered. There may or may not be actual vacancies filled from this flyer. Notice of Result letters will not be sent to applicants who respond to this flyer.",2021,https://www.usajobs.gov:443/job/851353600
DLAWpnSptDT-26-12831943-DHA,General Supply Specialist (6 Month Register),Defense Logistics Agency,"Richmond, Virginia",52188,67848,"This is an open-continuous announcement with an established initial cut-off date of December 1, 2025. Please see the ""How You Will Be Evaluated"" section for more information. Selected applicants will serve as entry-level trainees in the DLA Pathways to Career Excellence (PaCE) Program performing a series of progressively responsible General Supply Specialist functions, along with formal and on-the-job training (OJT).",2021,https://www.usajobs.gov:443/job/849985700
PDP-26-DE-12845193,Student Trainee (Management and Program Analysis),Government Accountability Office,"Washington, District of Columbia",19.76,19.76,"The U.S. Government Accountability Office (GAO) is an independent, nonpartisan agency that works for Congress. We accomplish our mission by providing objective and reliable information and analysis to the Congress, to federal agencies, and to the public, and recommending improvements, when appropriate, on a wide variety of issues to make government work better. This vacancy is for Summer undergraduate internship positions. The anticipated start dates begin in May 2026.",2021,https://www.usajobs.gov:443/job/852002900
PDP-26-DE-12845477,Student Trainee (Management and Program Analysis),Government Accountability Office,"Washington, District of Columbia",27.39,33.5,"The U.S. Government Accountability Office (GAO) is an independent, nonpartisan agency that works for Congress. We accomplish our mission by providing objective and reliable information and analysis to the Congress, to federal agencies, and to the public, and recommending improvements, when appropriate, on a wide variety of issues to make government work better. This vacancy is for summer internship positions. The anticipated start dates begin in May 2026.",2021,https://www.usajobs.gov:443/job/852003400
WY-12827742-AF-26-011,HR SPEC (MIL),Air National Guard Units,"Cheyenne, Wyoming",61111,79443,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for an HR SPEC (MIL), Position Description Number PDD1622000 and is part of the WY Joint Force Headquarters ANG, Wyoming Air National Guard. This is a Title 32 Dual Status Technician Excepted Service position. Military affiliation is required.",2021,https://www.usajobs.gov:443/job/850121800
CBSW-12832427-26-MAG,Advanced Medical Support Assistant,Veterans Health Administration,"San Francisco, California",62469,81206,"This is the advanced level of the position. The Advanced Medical Support Assistant (Advanced MSA) works for the San Francisco VA Health Care System (SFVAHCS), of the Sierra Pacific network (VISN 21). The position is located within the Office of Community Care (OCC). At your discretion and space availability, you will be placed at the San Francisco VA or at the Santa Rosa North CBOC (Community Based Outpatient Clinic)",2021,https://www.usajobs.gov:443/job/849963700
9T-AFPC-12844831-008490-AMB,BUDGET ANALYST,Pacific Air Forces,"Misawa AFB, Japan",52205,67865,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to: serve as a budget analyst in the installation's budget office. Employee performs routine, continuing budget functions involving the formulation, execution, and/or analysis of budgets for assigned installation's support activities and organizational components and/or segments of substantive programs.",2021,https://www.usajobs.gov:443/job/851718500
4L-AFPC-12846212-039013-AMB,BUDGET ANALYST,Air Education and Training Command,"Altus AFB, Oklahoma",61111,79443,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is: to serve as a budget analyst in the Mission Support Group, performing day-to-day control and variety of budget functions management involving the formulation, execution, support activities and analysis of the organization's budget and funding requirements. This position is an internal recruitment and limited to the AET command",2021,https://www.usajobs.gov:443/job/852096800
20260005,Police Officer,National Geospatial-Intelligence Agency,"Saint Louis, Missouri",51228,100097,Police Officers ensure compliance with Federal laws and Agency rules and regulations pertaining to law enforcement work. They maintain law and order; protect civil rights; carry firearms; provide assistance in emergency situations; investigate criminal activity and misconduct; and safeguard NGA personnel and assets. They also conduct patrols; prevent and detect violations; prepare accident and inc,2021,https://www.usajobs.gov:443/job/850537600
26-12848411,Data Scientist,"Commander, Navy Installations","Washington Navy Yard, District of Columbia",100000,121000,"This position is assigned to Program Integration (N9D); Fleet and Family Readiness (FFR); Commander, Navy Installations Command (CNIC); Washington Navy Yard, District of Columbia. The incumbent serves as a Data Scientist for the FFR Integration Office and provides data analytics expertise for the Navy's FFR Integration Office to ensure high data quality and data integrity of data elements used in developing dashboards.",2022,https://www.usajobs.gov:443/job/852159400
12845863-FODOFSDIV2-IMP-25,DATA SCIENTIST,Citizenship and Immigration Services,"Camp Springs, Maryland",106382,138296,"Protect your homeland and defend your culture. Join USCIS, America's frontline defense against illegal foreign infiltration and fraud. As a DATA SCIENTIST, you will gather and analyze facts, determine the accuracy of data, apply technical proficiency in use of current software functionality and research ways to improve production and/or increase the quality of the work product.",2022,https://www.usajobs.gov:443/job/851897400
