skill_id,skill_name,category,difficulty_level,popularity_score,required_frequency,certification,avg_salary_effect,created_at,updated_at
322,Python,Programming,Medium,31,328,parent Certificate,410,2/19/2024,2/8/2025
323,Spark,Data Engineering,Hard,37,485,detail Certificate,469,3/28/2024,10/9/2025
324,Kubernetes,Statistics,Easy,4,400,range Certificate,187,12/11/2023,12/19/2024
325,Hadoop,Machine Learning,Hard,53,354,impact Certificate,470,6/23/2022,12/25/2024
326,GCP,Statistics,Medium,41,131,instead Certificate,482,4/18/2022,12/10/2025
327,Spark,Data Engineering,Medium,22,260,next Certificate,45,6/29/2022,10/25/2025
328,AWS,Cloud,Medium,10,124,inside Certificate,45,7/16/2021,2/23/2025
329,Machine Learning,Visualization,Medium,56,69,purpose Certificate,281,6/18/2022,4/12/2025
330,SQL,Programming,Hard,30,233,chair Certificate,94,4/11/2024,4/10/2025
331,NLP,Programming,Hard,85,470,among Certificate,496,12/12/2022,1/18/2025
332,AWS,Programming,Easy,74,51,entire Certificate,487,10/5/2022,1/26/2025
333,SQL,Machine Learning,Medium,62,296,only Certificate,200,5/20/2021,9/28/2025
334,Tableau,Statistics,Easy,18,94,reason Certificate,429,2/9/2022,4/20/2025
335,SQL,Cloud,Hard,8,58,artist Certificate,486,6/20/2022,5/16/2025
336,Hadoop,Statistics,Hard,26,295,its Certificate,236,4/22/2023,11/11/2025
337,NLP,Programming,Medium,65,426,Mrs Certificate,483,12/28/2021,3/4/2025
338,PowerBI,Programming,Medium,91,93,wish Certificate,437,5/10/2022,7/9/2025
339,Tableau,Cloud,Easy,27,500,process Certificate,432,1/4/2024,5/29/2025
340,Python,Cloud,Medium,81,274,meet Certificate,375,6/29/2023,12/28/2024
341,SQL,Cloud,Easy,74,271,sea Certificate,31,8/13/2023,10/12/2025
342,AWS,Cloud,Medium,41,201,compare Certificate,415,2/4/2021,10/29/2025
343,Azure,Programming,Easy,12,135,yeah Certificate,318,12/14/2020,7/1/2025
344,Python,Programming,Hard,53,402,since Certificate,421,6/11/2023,8/4/2025
345,Python,Programming,Hard,88,425,fear Certificate,11,11/23/2023,6/14/2025
346,PowerBI,Visualization,Easy,27,348,country Certificate,443,5/16/2022,4/27/2025
347,AWS,Visualization,Easy,68,382,claim Certificate,95,4/11/2022,8/10/2025
348,Spark,Statistics,Medium,80,414,recently Certificate,130,11/22/2024,2/17/2025
349,SQL,Data Engineering,Easy,44,192,treat Certificate,96,1/11/2024,9/16/2025
350,Deep Learning,Data Engineering,Easy,92,452,record Certificate,229,1/1/2023,10/13/2025
351,Kubernetes,Machine Learning,Hard,21,385,pick Certificate,49,2/29/2024,12/16/2024
352,Hadoop,Programming,Hard,12,145,us Certificate,482,1/29/2022,2/22/2025
353,Python,Visualization,Medium,53,469,science Certificate,266,5/3/2022,12/13/2024
354,Data Modeling,Data Engineering,Medium,15,286,get Certificate,156,2/26/2023,7/14/2025
355,Tableau,Data Engineering,Medium,68,104,will Certificate,408,12/27/2020,11/12/2025
356,Deep Learning,Programming,Hard,56,409,ground Certificate,207,3/15/2022,12/6/2025
357,PowerBI,Programming,Medium,89,85,sort Certificate,66,5/25/2021,1/16/2025
358,Kubernetes,Visualization,Hard,83,323,either Certificate,258,6/25/2022,10/4/2025
359,Deep Learning,Visualization,Medium,28,402,two Certificate,117,6/30/2022,8/17/2025
360,Docker,Data Engineering,Medium,54,294,expect Certificate,110,5/18/2022,12/11/2024
361,Data Modeling,Cloud,Easy,48,307,charge Certificate,391,5/27/2022,4/25/2025
362,GCP,Statistics,Easy,52,178,table Certificate,62,3/26/2024,4/12/2025
363,Spark,Statistics,Hard,93,325,couple Certificate,96,11/29/2022,10/22/2025
364,Deep Learning,Cloud,Easy,69,136,sea Certificate,310,12/21/2021,5/15/2025
365,Hadoop,Data Engineering,Easy,52,35,live Certificate,253,5/6/2023,8/4/2025
366,Data Modeling,Cloud,Medium,90,92,professor Certificate,216,8/22/2021,6/22/2025
367,GCP,Statistics,Hard,83,487,beautiful Certificate,383,3/25/2022,11/17/2025
368,Spark,Machine Learning,Medium,49,283,quickly Certificate,424,12/11/2023,8/25/2025
369,Machine Learning,Statistics,Easy,75,248,time Certificate,61,6/15/2023,4/3/2025
370,NLP,Statistics,Hard,72,109,play Certificate,324,10/29/2023,12/6/2025
371,Azure,Statistics,Medium,49,411,buy Certificate,437,5/31/2023,2/4/2025
372,Python,Machine Learning,Easy,22,186,candidate Certificate,77,2/21/2023,12/24/2024
373,Kubernetes,Programming,Hard,71,296,probably Certificate,487,1/30/2024,11/5/2025
374,Data Modeling,Cloud,Hard,88,17,leave Certificate,415,11/11/2022,5/14/2025
375,Azure,Visualization,Easy,45,450,for Certificate,58,2/19/2024,12/4/2025
376,NLP,Visualization,Easy,89,352,politics Certificate,444,8/22/2022,12/29/2024
377,NLP,Cloud,Hard,36,78,fact Certificate,317,12/25/2021,12/12/2024
378,GCP,Data Engineering,Easy,11,243,operation Certificate,16,8/12/2022,1/5/2025
379,GCP,Statistics,Easy,70,213,join Certificate,106,4/4/2024,10/14/2025
380,NLP,Programming,Hard,50,484,he Certificate,345,1/1/2024,6/20/2025
381,Azure,Data Engineering,Medium,55,47,computer Certificate,229,7/12/2021,11/19/2025
382,Data Modeling,Cloud,Hard,5,371,health Certificate,451,11/19/2024,6/15/2025
383,NLP,Cloud,Easy,90,487,low Certificate,245,2/23/2021,4/18/2025
384,SQL,Cloud,Hard,66,8,want Certificate,67,12/13/2022,5/27/2025
385,NLP,Cloud,Easy,82,452,ahead Certificate,237,3/29/2024,8/31/2025
386,NLP,Statistics,Medium,12,6,ask Certificate,404,4/19/2023,6/6/2025
387,PowerBI,Data Engineering,Medium,97,295,very Certificate,475,12/14/2023,9/27/2025
388,Hadoop,Programming,Medium,16,267,event Certificate,224,3/31/2023,6/9/2025
389,Python,Machine Learning,Hard,11,263,prove Certificate,465,10/28/2023,11/6/2025
390,Machine Learning,Cloud,Hard,59,314,summer Certificate,8,4/21/2023,9/14/2025
391,Hadoop,Visualization,Hard,49,179,bank Certificate,139,8/14/2022,2/13/2025
392,Kubernetes,Visualization,Medium,10,57,big Certificate,10,4/19/2021,6/3/2025
393,SQL,Statistics,Hard,5,386,truth Certificate,71,12/30/2022,8/26/2025
394,GCP,Programming,Easy,86,90,very Certificate,47,8/14/2023,4/14/2025
395,Hadoop,Machine Learning,Hard,1,491,meeting Certificate,123,1/8/2021,8/25/2025
396,AWS,Data Engineering,Hard,84,292,building Certificate,435,7/31/2023,1/3/2025
397,Data Modeling,Machine Learning,Easy,53,422,face Certificate,477,7/13/2021,7/26/2025
398,Spark,Programming,Hard,26,250,not Certificate,89,6/6/2021,12/6/2025
399,Docker,Cloud,Easy,75,228,finally Certificate,208,12/25/2022,7/31/2025
400,Machine Learning,Programming,Hard,72,161,role Certificate,60,3/16/2022,12/10/2025
401,Tableau,Cloud,Hard,3,240,debate Certificate,355,8/26/2023,5/14/2025
402,NLP,Statistics,Medium,75,429,understand Certificate,318,1/15/2024,6/23/2025
403,SQL,Statistics,Medium,57,236,authority Certificate,297,12/3/2024,7/16/2025
404,PowerBI,Visualization,Hard,32,166,sit Certificate,455,10/13/2022,10/30/2025
405,GCP,Programming,Hard,84,328,page Certificate,411,11/20/2024,2/13/2025
406,Data Modeling,Visualization,Hard,17,116,once Certificate,27,1/3/2022,4/24/2025
407,PowerBI,Programming,Hard,60,128,image Certificate,453,3/3/2022,9/19/2025
408,Tableau,Cloud,Easy,25,358,brother Certificate,203,8/12/2023,9/14/2025
409,GCP,Cloud,Hard,91,326,develop Certificate,388,6/9/2022,10/15/2025
410,Kubernetes,Visualization,Easy,3,374,trade Certificate,179,7/19/2023,11/29/2025
411,Data Modeling,Programming,Medium,95,335,order Certificate,90,2/15/2023,3/20/2025
412,PowerBI,Statistics,Hard,18,330,every Certificate,331,12/1/2021,6/24/2025
413,Machine Learning,Cloud,Easy,59,388,letter Certificate,434,6/17/2022,5/23/2025
414,Spark,Machine Learning,Medium,82,241,whom Certificate,283,9/17/2022,3/25/2025
415,Data Modeling,Programming,Easy,29,491,chance Certificate,104,8/8/2022,10/27/2025
416,Docker,Statistics,Hard,76,122,hotel Certificate,441,4/14/2022,10/12/2025
417,GCP,Machine Learning,Easy,61,149,chance Certificate,436,8/8/2023,7/30/2025
418,Tableau,Data Engineering,Hard,97,102,per Certificate,435,10/14/2023,10/22/2025
419,Tableau,Cloud,Hard,13,156,carry Certificate,399,9/18/2021,8/10/2025
420,Azure,Data Engineering,Medium,22,393,customer Certificate,219,6/26/2024,1/5/2025
421,PowerBI,Machine Learning,Hard,48,62,alone Certificate,228,10/15/2024,2/27/2025
422,Data Modeling,Programming,Medium,26,281,raise Certificate,237,2/10/2024,10/13/2025
423,Deep Learning,Visualization,Hard,24,110,some Certificate,46,10/23/2022,6/30/2025
424,SQL,Data Engineering,Easy,53,146,majority Certificate,203,11/20/2024,4/1/2025
425,AWS,Visualization,Easy,58,322,exist Certificate,157,4/23/2023,3/26/2025
426,Docker,Cloud,Medium,22,106,win Certificate,140,8/10/2022,5/22/2025
427,PowerBI,Machine Learning,Medium,67,259,memory Certificate,177,7/23/2024,10/16/2025
428,Tableau,Machine Learning,Easy,41,169,operation Certificate,208,11/4/2023,10/17/2025
429,SQL,Visualization,Easy,37,296,between Certificate,417,10/17/2021,10/14/2025
430,Tableau,Visualization,Hard,49,230,gas Certificate,36,2/5/2021,2/11/2025
431,Machine Learning,Cloud,Easy,4,496,radio Certificate,436,4/23/2024,7/30/2025
432,Data Modeling,Visualization,Hard,48,39,close Certificate,160,7/18/2022,9/16/2025
433,Spark,Cloud,Hard,58,350,sell Certificate,206,2/24/2021,12/23/2024
434,Deep Learning,Statistics,Hard,2,396,name Certificate,353,7/16/2022,12/10/2025
435,GCP,Programming,Hard,100,307,research Certificate,92,2/24/2022,9/7/2025
436,Docker,Data Engineering,Hard,20,30,mother Certificate,0,1/26/2022,1/17/2025
437,NLP,Visualization,Hard,13,243,any Certificate,301,7/30/2024,7/27/2025
438,Data Modeling,Programming,Medium,85,131,walk Certificate,13,10/15/2024,11/26/2025
439,Tableau,Data Engineering,Easy,56,498,heavy Certificate,298,7/18/2024,12/6/2025
440,Hadoop,Machine Learning,Medium,11,394,back Certificate,95,4/6/2022,10/2/2025
441,SQL,Statistics,Easy,91,165,heart Certificate,448,4/5/2021,5/4/2025
442,PowerBI,Statistics,Hard,60,446,among Certificate,382,12/8/2024,5/24/2025
443,Deep Learning,Visualization,Easy,91,455,suddenly Certificate,283,12/27/2021,10/29/2025
444,Kubernetes,Programming,Easy,90,412,degree Certificate,31,11/26/2021,4/29/2025
445,Machine Learning,Statistics,Medium,26,89,series Certificate,17,6/21/2024,3/12/2025
446,Azure,Programming,Hard,24,151,try Certificate,233,5/28/2023,7/11/2025
447,PowerBI,Machine Learning,Hard,40,111,Mrs Certificate,225,1/12/2024,6/3/2025
448,SQL,Programming,Hard,76,424,memory Certificate,15,11/20/2022,12/19/2024
449,Python,Machine Learning,Hard,17,282,cold Certificate,458,11/24/2022,12/27/2024
450,Spark,Visualization,Easy,84,421,security Certificate,433,8/27/2022,11/5/2025
451,Data Modeling,Cloud,Easy,56,92,affect Certificate,346,10/6/2021,5/9/2025
452,SQL,Visualization,Hard,66,438,else Certificate,311,5/27/2024,10/28/2025
453,Kubernetes,Data Engineering,Hard,70,319,worker Certificate,469,2/23/2022,12/21/2024
454,AWS,Cloud,Easy,47,415,debate Certificate,158,2/6/2021,11/28/2025
455,GCP,Data Engineering,Medium,88,145,full Certificate,126,1/22/2021,5/21/2025
456,Python,Programming,Hard,74,137,none Certificate,127,12/1/2024,7/16/2025
457,GCP,Programming,Easy,77,204,kind Certificate,267,5/11/2024,10/3/2025
458,AWS,Cloud,Easy,79,282,minute Certificate,292,12/28/2021,7/9/2025
459,Tableau,Data Engineering,Medium,48,448,ago Certificate,316,12/20/2020,8/5/2025
460,NLP,Machine Learning,Easy,36,438,glass Certificate,361,8/17/2022,3/12/2025
461,Deep Learning,Programming,Medium,87,294,story Certificate,112,1/15/2022,4/21/2025
462,Machine Learning,Visualization,Medium,16,487,use Certificate,313,7/31/2023,1/11/2025
463,Docker,Programming,Medium,2,492,ask Certificate,176,12/31/2022,12/3/2025
464,Hadoop,Machine Learning,Easy,60,472,through Certificate,332,4/17/2021,7/28/2025
465,Hadoop,Data Engineering,Medium,24,79,alone Certificate,138,12/11/2021,2/14/2025
466,Python,Cloud,Easy,67,264,green Certificate,148,10/16/2024,9/29/2025
467,Data Modeling,Programming,Hard,70,462,company Certificate,318,3/6/2022,11/6/2025
468,NLP,Machine Learning,Hard,29,486,catch Certificate,355,2/24/2024,8/19/2025
469,GCP,Machine Learning,Medium,2,480,air Certificate,363,2/18/2024,7/2/2025
470,GCP,Statistics,Hard,82,192,open Certificate,183,8/4/2022,1/9/2025
471,Python,Data Engineering,Hard,25,124,industry Certificate,120,4/27/2021,5/2/2025
472,NLP,Data Engineering,Medium,62,108,manager Certificate,102,12/5/2023,6/13/2025
473,NLP,Statistics,Easy,70,105,bad Certificate,138,6/18/2022,7/17/2025
474,Hadoop,Statistics,Easy,51,89,establish Certificate,345,5/4/2022,7/3/2025
475,GCP,Cloud,Easy,86,59,least Certificate,143,7/2/2021,5/10/2025
476,PowerBI,Data Engineering,Hard,31,459,land Certificate,492,3/5/2021,6/20/2025
477,Kubernetes,Visualization,Easy,14,244,sound Certificate,195,4/29/2023,8/11/2025
478,PowerBI,Cloud,Easy,59,423,official Certificate,314,3/19/2024,11/8/2025
479,Tableau,Programming,Easy,13,37,civil Certificate,224,8/19/2023,12/20/2024
480,Azure,Programming,Hard,86,5,executive Certificate,70,2/29/2024,7/6/2025
481,Spark,Cloud,Medium,89,127,look Certificate,45,1/8/2024,2/18/2025
482,Tableau,Programming,Medium,27,143,Mr Certificate,50,8/19/2023,12/17/2024
483,Deep Learning,Statistics,Medium,1,66,improve Certificate,49,7/8/2021,3/18/2025
484,Machine Learning,Visualization,Medium,98,317,turn Certificate,224,1/19/2024,6/30/2025
485,Docker,Statistics,Medium,62,472,have Certificate,347,10/7/2023,7/6/2025
486,GCP,Data Engineering,Hard,4,347,lead Certificate,269,1/5/2023,4/22/2025
487,Hadoop,Statistics,Hard,84,434,student Certificate,26,12/12/2022,12/28/2024
488,Kubernetes,Cloud,Easy,66,16,become Certificate,438,12/29/2020,8/21/2025
489,Deep Learning,Programming,Hard,68,244,rich Certificate,281,1/17/2021,2/19/2025
490,NLP,Machine Learning,Medium,20,484,view Certificate,329,12/26/2023,10/10/2025
491,PowerBI,Data Engineering,Hard,34,499,performance Certificate,228,1/19/2024,5/17/2025
492,Spark,Visualization,Medium,42,277,such Certificate,82,6/19/2021,11/23/2025
493,Tableau,Programming,Easy,18,234,defense Certificate,240,7/6/2024,1/12/2025
494,Data Modeling,Programming,Easy,52,408,seat Certificate,138,11/16/2023,9/20/2025
495,Hadoop,Programming,Easy,69,357,little Certificate,327,2/23/2024,10/19/2025
496,PowerBI,Programming,Easy,60,472,although Certificate,354,10/29/2022,11/14/2025
497,Hadoop,Machine Learning,Medium,80,113,until Certificate,35,10/24/2023,9/4/2025
498,Spark,Data Engineering,Hard,74,29,drop Certificate,276,12/31/2020,9/29/2025
499,PowerBI,Data Engineering,Hard,36,219,wish Certificate,356,4/8/2023,6/19/2025
500,Deep Learning,Visualization,Medium,74,242,base Certificate,375,11/6/2021,1/4/2025
501,GCP,Data Engineering,Hard,69,180,trade Certificate,472,8/1/2021,10/8/2025
502,SQL,Visualization,Easy,70,159,citizen Certificate,393,3/16/2024,3/21/2025
503,Deep Learning,Visualization,Hard,17,422,behavior Certificate,92,8/25/2022,4/29/2025
504,NLP,Visualization,Easy,60,206,scientist Certificate,353,6/6/2022,9/8/2025
505,Tableau,Statistics,Medium,36,7,study Certificate,471,11/11/2024,6/16/2025
506,Docker,Visualization,Medium,44,101,into Certificate,35,12/22/2022,6/8/2025
507,AWS,Cloud,Easy,28,261,by Certificate,156,3/30/2022,9/22/2025
508,Kubernetes,Statistics,Medium,11,454,indicate Certificate,349,12/29/2020,12/10/2024
509,AWS,Data Engineering,Easy,93,497,many Certificate,247,8/4/2022,7/20/2025
510,Tableau,Data Engineering,Medium,31,490,throughout Certificate,274,4/7/2024,4/13/2025
511,Hadoop,Statistics,Hard,37,489,play Certificate,378,4/17/2022,6/8/2025
512,PowerBI,Programming,Medium,39,488,type Certificate,155,5/24/2023,2/24/2025
513,Python,Machine Learning,Hard,14,307,fly Certificate,378,7/26/2022,9/24/2025
514,Docker,Data Engineering,Medium,32,329,hair Certificate,250,12/14/2021,3/8/2025
515,Tableau,Data Engineering,Medium,2,83,manage Certificate,324,8/16/2024,8/25/2025
516,Kubernetes,Programming,Easy,45,41,until Certificate,266,6/21/2021,4/6/2025
517,NLP,Data Engineering,Easy,67,395,reveal Certificate,297,9/29/2024,2/11/2025
518,Azure,Programming,Medium,10,10,condition Certificate,434,1/22/2023,12/7/2025
519,AWS,Programming,Hard,77,91,know Certificate,295,2/4/2021,5/13/2025
520,Kubernetes,Cloud,Medium,84,206,head Certificate,127,2/23/2021,7/26/2025
521,SQL,Cloud,Easy,10,149,behind Certificate,59,4/9/2021,5/25/2025
522,NLP,Machine Learning,Easy,92,340,just Certificate,24,5/19/2021,3/17/2025
523,Deep Learning,Visualization,Medium,36,99,activity Certificate,313,10/14/2024,9/14/2025
524,Azure,Data Engineering,Hard,43,389,doctor Certificate,273,4/22/2024,9/12/2025
525,NLP,Statistics,Easy,22,452,though Certificate,218,8/1/2022,4/29/2025
526,SQL,Machine Learning,Medium,76,452,investment Certificate,138,12/4/2022,9/8/2025
527,Hadoop,Statistics,Easy,6,25,all Certificate,451,7/15/2023,11/6/2025
528,SQL,Cloud,Easy,98,66,recent Certificate,145,4/12/2022,4/29/2025
529,NLP,Statistics,Easy,26,255,determine Certificate,58,6/2/2023,12/30/2024
530,PowerBI,Data Engineering,Hard,3,471,production Certificate,203,3/4/2022,9/30/2025
531,Tableau,Machine Learning,Easy,66,452,when Certificate,386,7/6/2022,8/6/2025
532,AWS,Machine Learning,Medium,20,490,away Certificate,480,5/5/2022,12/5/2025
533,NLP,Machine Learning,Medium,59,344,hear Certificate,248,8/14/2023,7/14/2025
534,Data Modeling,Statistics,Hard,2,381,far Certificate,122,3/30/2023,4/17/2025
535,Kubernetes,Cloud,Medium,18,201,establish Certificate,128,8/19/2023,10/5/2025
536,PowerBI,Machine Learning,Medium,5,169,perform Certificate,489,3/20/2024,5/12/2025
537,PowerBI,Cloud,Medium,23,260,behavior Certificate,67,1/29/2021,6/4/2025
538,Docker,Cloud,Medium,9,270,recent Certificate,320,3/10/2024,10/11/2025
539,Machine Learning,Machine Learning,Hard,99,150,them Certificate,48,3/1/2021,7/1/2025
540,AWS,Statistics,Medium,15,333,include Certificate,430,8/23/2022,8/21/2025
541,AWS,Cloud,Easy,92,323,face Certificate,268,8/7/2024,2/15/2025
542,Azure,Cloud,Medium,55,120,employee Certificate,453,1/27/2021,12/4/2025
543,Tableau,Cloud,Medium,98,14,short Certificate,273,1/20/2021,10/30/2025
544,Tableau,Machine Learning,Hard,56,419,special Certificate,449,12/9/2023,12/31/2024
545,Deep Learning,Programming,Hard,55,344,my Certificate,94,11/8/2022,3/5/2025
546,Data Modeling,Data Engineering,Easy,69,252,available Certificate,48,12/21/2022,8/16/2025
547,Azure,Visualization,Easy,95,479,cover Certificate,176,10/15/2021,11/14/2025
548,PowerBI,Cloud,Medium,25,456,rock Certificate,317,12/14/2022,10/10/2025
549,Machine Learning,Statistics,Easy,26,116,enough Certificate,481,5/30/2022,9/3/2025
550,Tableau,Visualization,Easy,20,361,this Certificate,401,10/2/2023,6/30/2025
551,GCP,Programming,Easy,17,334,hair Certificate,409,3/1/2024,1/9/2025
552,Data Modeling,Statistics,Medium,73,305,yes Certificate,489,2/19/2024,6/12/2025
553,GCP,Machine Learning,Medium,21,314,where Certificate,86,4/22/2023,5/10/2025
554,Python,Statistics,Medium,98,211,many Certificate,345,1/31/2023,4/13/2025
555,Deep Learning,Visualization,Medium,16,114,step Certificate,455,12/4/2021,3/15/2025
556,Azure,Data Engineering,Medium,94,182,light Certificate,253,1/4/2024,5/10/2025
557,Data Modeling,Statistics,Hard,2,275,some Certificate,308,5/9/2023,3/6/2025
558,Hadoop,Programming,Easy,33,475,so Certificate,8,7/13/2024,7/25/2025
559,Python,Cloud,Medium,67,320,make Certificate,337,6/28/2022,10/16/2025
560,PowerBI,Programming,Hard,78,461,media Certificate,487,2/9/2021,7/16/2025
561,NLP,Data Engineering,Easy,88,357,spring Certificate,375,1/23/2023,4/18/2025
562,SQL,Cloud,Medium,60,312,Republican Certificate,18,7/10/2022,7/21/2025
563,NLP,Data Engineering,Medium,1,402,amount Certificate,385,11/28/2023,8/19/2025
564,PowerBI,Data Engineering,Easy,67,227,old Certificate,466,5/30/2022,8/2/2025
565,Hadoop,Programming,Easy,26,444,poor Certificate,381,8/16/2022,9/12/2025
566,Spark,Data Engineering,Easy,40,373,our Certificate,262,12/16/2021,8/11/2025
567,Azure,Cloud,Hard,68,39,true Certificate,336,5/4/2021,7/20/2025
568,Spark,Data Engineering,Medium,69,431,worker Certificate,438,4/29/2023,5/26/2025
569,GCP,Visualization,Medium,66,424,drug Certificate,382,8/2/2022,12/31/2024
570,Tableau,Data Engineering,Hard,75,299,scientist Certificate,204,7/25/2024,8/13/2025
571,Spark,Visualization,Easy,23,64,law Certificate,443,7/2/2022,12/2/2025
572,Hadoop,Data Engineering,Easy,81,404,them Certificate,268,11/24/2021,3/18/2025
573,Deep Learning,Cloud,Easy,8,444,surface Certificate,29,5/26/2021,2/14/2025
574,Tableau,Statistics,Easy,36,447,happy Certificate,474,8/1/2021,11/29/2025
575,NLP,Data Engineering,Medium,88,193,actually Certificate,369,11/29/2024,7/27/2025
576,Hadoop,Programming,Hard,30,118,series Certificate,455,1/2/2024,7/18/2025
577,Machine Learning,Programming,Hard,73,237,do Certificate,184,3/25/2024,9/15/2025
578,Tableau,Data Engineering,Easy,40,141,guy Certificate,19,8/17/2024,9/12/2025
579,GCP,Data Engineering,Hard,94,345,them Certificate,343,4/12/2022,7/21/2025
580,Docker,Visualization,Hard,96,6,about Certificate,386,8/27/2022,1/15/2025
581,NLP,Machine Learning,Hard,35,377,prepare Certificate,106,6/5/2024,6/10/2025
582,NLP,Data Engineering,Hard,34,209,usually Certificate,1,10/3/2024,10/27/2025
583,NLP,Visualization,Medium,1,397,second Certificate,400,5/9/2021,2/12/2025
584,Azure,Programming,Medium,5,200,fly Certificate,118,9/17/2021,9/6/2025
585,Python,Statistics,Medium,62,379,than Certificate,422,12/9/2021,7/8/2025
586,Spark,Statistics,Medium,46,319,build Certificate,92,12/10/2023,12/23/2024
587,SQL,Visualization,Hard,12,306,its Certificate,337,8/20/2021,10/9/2025
588,GCP,Cloud,Easy,26,108,interest Certificate,4,12/21/2020,8/11/2025
589,Azure,Machine Learning,Medium,2,450,study Certificate,100,7/25/2021,4/19/2025
590,Python,Cloud,Medium,9,385,wall Certificate,315,4/30/2022,1/22/2025
591,Hadoop,Data Engineering,Easy,27,254,every Certificate,129,6/16/2024,8/12/2025
592,Spark,Machine Learning,Easy,81,399,follow Certificate,436,1/11/2023,11/24/2025
593,NLP,Statistics,Easy,9,451,start Certificate,162,3/14/2023,1/12/2025
594,Python,Statistics,Easy,14,192,statement Certificate,430,2/2/2023,1/26/2025
595,NLP,Data Engineering,Medium,84,166,myself Certificate,110,5/29/2024,3/24/2025
596,Spark,Statistics,Medium,74,420,set Certificate,393,6/12/2022,11/28/2025
597,Spark,Data Engineering,Easy,63,144,onto Certificate,418,3/5/2024,1/30/2025
598,NLP,Machine Learning,Hard,13,95,worker Certificate,163,1/25/2022,5/17/2025
599,GCP,Statistics,Medium,26,234,step Certificate,424,2/5/2021,10/11/2025
600,Docker,Data Engineering,Easy,48,391,reduce Certificate,224,5/19/2024,12/2/2025
601,SQL,Data Engineering,Easy,26,83,small Certificate,36,8/23/2023,11/21/2025
602,Azure,Statistics,Hard,94,292,best Certificate,411,2/13/2022,2/22/2025
603,GCP,Statistics,Medium,24,443,or Certificate,97,2/3/2021,1/31/2025
604,Deep Learning,Data Engineering,Medium,28,482,meeting Certificate,81,5/16/2021,8/19/2025
605,AWS,Machine Learning,Hard,40,82,wait Certificate,22,1/5/2022,5/16/2025
606,Machine Learning,Data Engineering,Hard,84,394,add Certificate,32,11/8/2022,8/19/2025
607,GCP,Programming,Easy,25,215,opportunity Certificate,33,4/4/2024,2/9/2025
608,Spark,Programming,Hard,8,205,office Certificate,480,8/8/2022,4/20/2025
609,Docker,Visualization,Easy,55,355,value Certificate,149,6/2/2022,7/9/2025
610,Deep Learning,Machine Learning,Hard,4,170,direction Certificate,187,4/24/2021,3/23/2025
611,Docker,Machine Learning,Medium,95,343,employee Certificate,471,8/6/2024,2/11/2025
612,NLP,Machine Learning,Easy,7,496,bar Certificate,192,11/10/2021,7/31/2025
613,Kubernetes,Programming,Hard,52,99,avoid Certificate,271,11/7/2021,3/9/2025
614,Azure,Data Engineering,Easy,14,370,everything Certificate,284,4/9/2022,2/28/2025
615,Hadoop,Machine Learning,Hard,25,480,middle Certificate,346,7/12/2024,5/28/2025
616,PowerBI,Machine Learning,Hard,68,235,occur Certificate,430,7/23/2021,7/20/2025
617,Python,Data Engineering,Medium,75,426,throw Certificate,281,1/13/2023,3/21/2025
618,Tableau,Visualization,Medium,89,492,person Certificate,187,12/14/2021,6/21/2025
619,Tableau,Data Engineering,Easy,63,110,magazine Certificate,419,10/9/2022,4/30/2025
620,Kubernetes,Visualization,Easy,44,179,laugh Certificate,144,2/29/2024,2/10/2025
621,NLP,Machine Learning,Medium,40,42,score Certificate,432,11/13/2023,2/25/2025
622,AWS,Machine Learning,Easy,53,4,fine Certificate,199,7/1/2023,1/24/2025
623,AWS,Machine Learning,Medium,89,7,break Certificate,167,2/25/2024,2/25/2025
624,Machine Learning,Data Engineering,Easy,17,92,whole Certificate,172,4/11/2023,9/6/2025
625,GCP,Machine Learning,Hard,47,190,figure Certificate,133,4/2/2023,8/10/2025
626,Docker,Visualization,Medium,5,341,realize Certificate,279,2/25/2023,2/23/2025
627,NLP,Machine Learning,Easy,34,326,always Certificate,26,2/12/2024,8/8/2025
628,PowerBI,Visualization,Easy,35,171,provide Certificate,72,8/28/2022,1/3/2025
629,Data Modeling,Machine Learning,Hard,78,42,professor Certificate,359,11/8/2021,4/2/2025
630,Machine Learning,Statistics,Easy,53,443,type Certificate,472,1/18/2022,3/5/2025
631,Kubernetes,Cloud,Easy,50,365,current Certificate,210,1/10/2021,12/2/2025
632,PowerBI,Statistics,Easy,17,499,without Certificate,340,1/21/2022,1/21/2025
633,PowerBI,Programming,Hard,10,140,thank Certificate,447,5/22/2022,11/24/2025
634,GCP,Visualization,Hard,72,484,manager Certificate,377,4/8/2022,4/21/2025
635,Docker,Machine Learning,Hard,41,384,hour Certificate,387,2/2/2021,9/21/2025
636,NLP,Statistics,Hard,63,146,others Certificate,313,1/18/2023,11/1/2025
637,AWS,Cloud,Hard,50,139,far Certificate,333,9/25/2024,4/21/2025
638,NLP,Visualization,Medium,14,347,red Certificate,329,4/21/2024,8/3/2025
639,Deep Learning,Statistics,Medium,63,470,green Certificate,20,10/14/2022,10/27/2025
640,Tableau,Statistics,Easy,29,338,religious Certificate,431,5/14/2023,3/29/2025
641,GCP,Data Engineering,Easy,69,190,past Certificate,230,7/20/2024,2/8/2025
642,AWS,Data Engineering,Medium,21,351,on Certificate,216,5/10/2022,7/7/2025
643,Docker,Data Engineering,Medium,65,317,edge Certificate,158,1/12/2022,6/2/2025
644,Python,Data Engineering,Hard,58,392,country Certificate,330,9/21/2024,5/23/2025
